,Episode_1,Episode_2,Episode_3,Episode_4,Episode_5,Episode_6,Episode_7,Episode_8,Episode_9,Episode_10,Episode_11,Episode_12,Episode_13,Episode_14,Episode_15,Episode_16,Episode_17,Episode_18,Episode_19,Episode_20,Episode_21,Episode_22,Episode_23,Episode_24,Episode_25,Episode_26,Episode_27
Season_1,8.5,8.3,8.2,8.2,8.3,8.3,8.3,8.2,8.7,,,,,,,,,,,,,,,,,,
Season_2,8.5,8.3,8.8,8.5,8.6,9.0,8.3,8.1,8.5,8.2,8.3,8.3,8.4,8.2,8.5,9.5,9.5,8.5,8.3,8.2,8.3,8.3,8.1,8.5,9.1,9.1,9.3
Season_3,8.7,8.3,8.1,8.4,8.2,8.1,8.1,8.0,8.8,8.3,8.6,8.9,8.4,8.6,8.9,8.9,8.6,8.4,8.2,8.1,8.0,7.0,7.3,8.5,8.8,,
Season_4,8.1,7.9,8.2,8.1,8.0,8.0,7.9,8.1,8.4,8.4,8.0,8.1,8.3,8.0,8.1,8.4,8.7,,,,,,,,,,
Season_5,8.3,8.3,8.3,8.6,8.6,8.4,8.6,8.3,8.5,8.6,8.3,8.9,9.2,8.6,8.3,8.8,8.9,9.0,9.1,8.8,8.4,9.3,9.0,9.6,,,
Season_6,8.5,8.5,7.8,8.1,8.1,9.0,8.7,8.5,8.2,8.0,8.1,7.9,8.1,8.1,8.9,8.0,7.8,7.8,7.9,7.7,8.2,8.4,9.6,9.6,,,
Season_7,7.9,7.8,7.6,7.5,7.8,7.0,7.8,7.7,7.9,8.4,8.1,7.8,7.7,7.6,8.6,7.7,8.0,6.2,7.8,7.8,7.7,7.9,,,,,
Season_8,8.2,8.5,8.2,8.1,8.1,8.0,8.3,8.6,9.2,9.1,8.2,8.5,8.1,8.0,8.1,8.3,8.0,8.0,8.4,8.4,8.4,8.5,8.6,8.6,,,
Season_9,8.7,8.9,8.3,8.1,8.6,8.3,8.3,8.1,8.5,8.5,8.1,7.8,7.8,8.2,8.2,8.5,8.1,7.7,7.4,7.8,7.6,7.4,8.4,8.9,,,
Season_10,7.2,7.1,7.0,7.1,7.1,7.0,6.1,6.8,7.1,7.3,7.4,8.1,7.6,7.7,7.7,7.1,6.4,7.0,8.0,7.6,8.1,8.6,8.1,9.3,,,
Season_11,7.3,7.3,7.4,8.1,7.5,7.3,7.9,8.0,7.8,7.7,8.4,7.6,8.5,8.9,7.6,7.9,7.8,7.8,6.9,7.7,4.8,7.0,7.6,8.2,8.2,,
Season_12,8.4,7.8,8.3,8.7,9.0,7.8,7.7,8.5,9.3,8.3,7.0,8.3,7.4,8.0,8.2,7.7,7.7,8.6,8.2,8.0,8.3,8.5,8.4,8.7,,,
Season_13,7.7,7.5,8.0,7.5,7.7,8.2,7.3,7.3,8.5,6.9,6.7,6.7,8.0,6.8,6.2,6.2,8.1,8.5,7.8,6.7,7.3,7.5,8.7,8.5,,,
Season_14,8.3,8.2,8.3,8.2,7.5,8.1,9.1,8.5,8.7,8.8,8.1,7.4,7.3,7.6,7.7,7.1,8.3,7.6,7.5,8.1,7.7,7.7,8.8,8.3,,,
Season_15,7.8,8.0,7.3,8.0,7.6,8.6,8.2,8.5,8.3,7.8,8.3,8.4,7.5,8.2,8.0,7.0,7.0,7.2,9.5,7.5,8.3,7.9,8.0,8.4,8.1,,
Season_16,7.3,7.4,7.6,7.7,7.8,7.7,7.9,9.0,8.1,7.6,7.6,5.7,7.4,7.5,7.6,4.1,7.0,7.7,6.6,8.0,8.3,,,,,,
